id,foods,is_low_kcal,nutrients
1,hamburger,0,"fats, protein"
2,hamburger,0,"fats, protein"
3,sweetpotato,1,"carbohydrate,fiber"
4,sweetpotato,1,"carbohydrate,fiber"
5,sweetpotato,1,"carbohydrate,fiber"
6,sweetpotato,1,"carbohydrate,fiber"
7,sweetpotato,1,"carbohydrate,fiber"
8,sweetpotato,1,"carbohydrate,fiber"
9,sweetpotato,1,"carbohydrate,fiber"
10,sweetpotato,1,"carbohydrate,fiber"
11,sweetpotato,1,"carbohydrate,fiber"
12,sweetpotato,1,"carbohydrate,fiber"
13,sweetpotato,1,"carbohydrate,fiber"
14,sweetpotato,1,"carbohydrate,fiber"
15,sweetpotato,1,"carbohydrate,fiber"
16,sweetpotato,1,"carbohydrate,fiber"
17,sweetpotato,1,"carbohydrate,fiber"
18,sweetpotato,1,"carbohydrate,fiber"
19,sweetpotato,1,"carbohydrate,fiber"
20,sweetpotato,1,"carbohydrate,fiber"
21,sweetpotato,1,"carbohydrate,fiber"
22,sweetpotato,1,"carbohydrate,fiber"
23,sweetpotato,1,"carbohydrate,fiber"
24,sweetpotato,1,"carbohydrate,fiber"
25,sweetpotato,1,"carbohydrate,fiber"
26,sweetpotato,1,"carbohydrate,fiber"
27,sweetpotato,1,"carbohydrate,fiber"
28,sweetpotato,1,"carbohydrate,fiber"
29,sweetpotato,1,"carbohydrate,fiber"
30,sweetpotato,1,"carbohydrate,fiber"
31,sweetpotato,1,"carbohydrate,fiber"
32,sweetpotato,1,"carbohydrate,fiber"
33,sweetpotato,1,"carbohydrate,fiber"
34,sweetpotato,1,"carbohydrate,fiber"
35,sweetpotato,1,"carbohydrate,fiber"
36,sweetpotato,1,"carbohydrate,fiber"
37,sweetpotato,1,"carbohydrate,fiber"
38,sweetpotato,1,"carbohydrate,fiber"
39,sweetpotato,1,"carbohydrate,fiber"
40,sweetpotato,1,"carbohydrate,fiber"
41,chicken_chest,1,protein
42,chicken_chest,1,protein
43,chicken_chest,1,protein
44,chicken_chest,1,protein
45,chicken_chest,1,protein
46,chicken_chest,1,protein
47,chicken_chest,1,protein
48,chicken_chest,1,protein
49,chicken_chest,1,protein
50,chicken_chest,1,protein
51,chicken_chest,1,protein
52,chicken_chest,1,protein
53,chicken_chest,1,protein
54,chicken_chest,1,protein
55,chicken_chest,1,protein
56,chicken_chest,1,protein
57,chicken_chest,1,protein
58,chicken_chest,1,protein
59,chicken_chest,1,protein
60,chicken_chest,1,protein
61,chicken_chest,1,protein
62,"chicken_chest,salad",1,protein
63,chicken_chest,1,protein
64,chicken_chest,1,protein
65,chicken_chest,1,protein
66,chicken_chest,1,protein
67,chicken_chest,1,protein
68,chicken_chest,1,protein
69,chicken_chest,1,protein
70,chicken_chest,1,protein
71,salad,1,fiber
72,salad,1,fiber
73,salad,1,fiber
74,salad,1,fiber
75,salad,1,fiber
76,salad,1,fiber
77,salad,1,fiber
78,salad,1,fiber
79,salad,1,fiber
80,salad,1,fiber
81,salad,1,fiber
82,salad,1,fiber
83,salad,1,fiber
84,salad,1,fiber
85,salad,1,fiber
86,salad,1,fiber
87,salad,1,fiber
88,salad,1,fiber
89,salad,1,fiber
90,salad,1,fiber
91,salad,1,fiber
92,salad,1,fiber
93,salad,1,fiber
94,salad,1,fiber
95,salad,1,fiber
96,salad,1,fiber
97,salad,1,fiber
98,salad,1,fiber
99,salad,1,fiber
100,salad,1,fiber
101,salad,1,fiber
102,salad,1,fiber
103,salad,1,fiber
104,salad,1,fiber
